# Goxel 0.7.3
# One line per voxel
# X Y Z RRGGBB
0 5 0 ffffff
1 5 0 ffffff
2 5 0 ffffff
3 5 0 ffffff
4 5 0 ffffff
5 5 0 ffffff
6 5 0 ffffff
7 5 0 ffffff
8 5 0 ffffff
9 5 0 ffffff
0 6 0 ffffff
1 6 0 ffffff
2 6 0 ffffff
3 6 0 ffffff
4 6 0 ffffff
5 6 0 ffffff
6 6 0 ffffff
7 6 0 ffffff
8 6 0 ffffff
9 6 0 ffffff
0 7 0 ffffff
1 7 0 ffffff
2 7 0 ffffff
3 7 0 ffffff
4 7 0 ffffff
5 7 0 ffffff
6 7 0 ffffff
7 7 0 ffffff
8 7 0 ffffff
9 7 0 ffffff
0 8 0 ffffff
1 8 0 ffffff
2 8 0 ffffff
3 8 0 ffffff
4 8 0 ffffff
5 8 0 ffffff
6 8 0 ffffff
7 8 0 ffffff
8 8 0 ffffff
9 8 0 ffffff
0 9 0 ffffff
1 9 0 ffffff
2 9 0 ffffff
3 9 0 ffffff
4 9 0 ffffff
5 9 0 ffffff
6 9 0 ffffff
7 9 0 ffffff
8 9 0 ffffff
9 9 0 ffffff
0 5 1 ffffff
1 5 1 ffffff
2 5 1 ffffff
3 5 1 ffffff
4 5 1 ffffff
5 5 1 ffffff
6 5 1 ffffff
7 5 1 ffffff
8 5 1 ffffff
9 5 1 ffffff
0 6 1 ffffff
1 6 1 ffffff
2 6 1 ffffff
3 6 1 ffffff
4 6 1 ffffff
5 6 1 ffffff
6 6 1 ffffff
7 6 1 ffffff
8 6 1 ffffff
9 6 1 ffffff
0 7 1 ffffff
1 7 1 ffffff
2 7 1 ffffff
3 7 1 ffffff
4 7 1 ffffff
5 7 1 ffffff
6 7 1 ffffff
7 7 1 ffffff
8 7 1 ffffff
9 7 1 ffffff
0 8 1 ffffff
1 8 1 ffffff
2 8 1 ffffff
3 8 1 ffffff
4 8 1 ffffff
5 8 1 ffffff
6 8 1 ffffff
7 8 1 ffffff
8 8 1 ffffff
9 8 1 ffffff
0 9 1 ffffff
1 9 1 ffffff
2 9 1 ffffff
3 9 1 ffffff
4 9 1 ffffff
5 9 1 ffffff
6 9 1 ffffff
7 9 1 ffffff
8 9 1 ffffff
9 9 1 ffffff
0 5 2 ffffff
1 5 2 ffffff
2 5 2 ffffff
3 5 2 ffffff
4 5 2 ffffff
5 5 2 ffffff
6 5 2 ffffff
7 5 2 ffffff
8 5 2 ffffff
9 5 2 ffffff
0 6 2 ffffff
1 6 2 ffffff
2 6 2 ffffff
3 6 2 ffffff
4 6 2 ffffff
5 6 2 ffffff
6 6 2 ffffff
7 6 2 ffffff
8 6 2 ffffff
9 6 2 ffffff
0 7 2 ffffff
1 7 2 ffffff
